"Class","File","TotalLines","LineCoverage","TotalBranches","CoveredBranches","UncoveredBranches","BranchCoverage","UncoveredMethods"
"POS.Domain.ValueObjects.Money","D:\jopos2\POS_System\POS.Domain\ValueObjects\Money.cs","33","72.7","20","8","12","40","Validate (3/6 branches); Equals (2/2 branches); Equals (1/2 branches); CompareTo (2/2 branches); op_Equality (4/8 branches)"
"POS.Domain.ValueObjects.ArabicName","D:\jopos2\POS_System\POS.Domain\ValueObjects\ArabicName.cs","21","76.2","14","8","6","57.1","Equals (2/2 branches); Equals (2/2 branches); op_Implicit (2/4 branches)"
"POS.Domain.Entities.Return","D:\jopos2\POS_System\POS.Domain\Entities\Return.cs","17","47.1","0","0","0","100",""
"POS.Domain.Entities.Register","D:\jopos2\POS_System\POS.Domain\Entities\Register.cs","7","57.1","0","0","0","100",""
"POS.Domain.Entities.ReturnItem","D:\jopos2\POS_System\POS.Domain\Entities\ReturnItem.cs","11","72.7","0","0","0","100",""
"POS.Domain.Entities.Sale","D:\jopos2\POS_System\POS.Domain\Entities\Sale.cs","33","84.8","0","0","0","100",""
"POS.Domain.Entities.Room","D:\jopos2\POS_System\POS.Domain\Entities\Room.cs","4","75","0","0","0","100",""
"POS.Domain.Entities.PurchaseOrder","D:\jopos2\POS_System\POS.Domain\Entities\PurchaseOrder.cs","13","53.8","0","0","0","100",""
"POS.Domain.Entities.Promotion","D:\jopos2\POS_System\POS.Domain\Entities\Promotion.cs","15","100","0","0","0","100",""
"POS.Domain.Entities.PurchaseOrderItem","D:\jopos2\POS_System\POS.Domain\Entities\PurchaseOrderItem.cs","9","77.8","0","0","0","100",""
"POS.Domain.Entities.RecipeIngredient","D:\jopos2\POS_System\POS.Domain\Entities\RecipeIngredient.cs","6","66.7","0","0","0","100",""
"POS.Domain.Entities.Recipe","D:\jopos2\POS_System\POS.Domain\Entities\Recipe.cs","8","50","0","0","0","100",""
"POS.Domain.Entities.SaleItem","D:\jopos2\POS_System\POS.Domain\Entities\SaleItem.cs","22","86.4","0","0","0","100",""
"POS.Domain.Entities.UnitOfMeasure","D:\jopos2\POS_System\POS.Domain\Entities\UnitOfMeasure.cs","10","100","0","0","0","100",""
"POS.Domain.Entities.Table","D:\jopos2\POS_System\POS.Domain\Entities\Table.cs","8","87.5","0","0","0","100",""
"POS.Domain.Entities.User","D:\jopos2\POS_System\POS.Domain\Entities\User.cs","14","85.7","0","0","0","100",""
"POS.Domain.BusinessRules.MoneyPolicy","D:\jopos2\POS_System\POS.Domain\BusinessRules\MoneyPolicy.cs","1","100","0","0","0","100",""
"POS.Domain.Entities.WithdrawalDeposit","D:\jopos2\POS_System\POS.Domain\Entities\WithdrawalDeposit.cs","9","55.6","0","0","0","100",""
"POS.Domain.Entities.SalePromotion","D:\jopos2\POS_System\POS.Domain\Entities\SalePromotion.cs","6","66.7","0","0","0","100",""
"POS.Domain.Entities.SaleItemModifier","D:\jopos2\POS_System\POS.Domain\Entities\SaleItemModifier.cs","9","88.9","0","0","0","100",""
"POS.Domain.Entities.Setting","D:\jopos2\POS_System\POS.Domain\Entities\Setting.cs","5","80","0","0","0","100",""
"POS.Domain.Entities.Supplier","D:\jopos2\POS_System\POS.Domain\Entities\Supplier.cs","10","100","0","0","0","100",""
"POS.Domain.Entities.Shift","D:\jopos2\POS_System\POS.Domain\Entities\Shift.cs","26","73.1","0","0","0","100",""
"POS.Domain.Entities.Product","D:\jopos2\POS_System\POS.Domain\Entities\Product.cs","23","69.6","0","0","0","100",""
"POS.Domain.Entities.BackupRecord","D:\jopos2\POS_System\POS.Domain\Entities\BackupRecord.cs","7","85.7","0","0","0","100",""
"POS.Domain.Entities.AuditLog","D:\jopos2\POS_System\POS.Domain\Entities\AuditLog.cs","10","90","0","0","0","100",""
"POS.Domain.Entities.BaseEntity","D:\jopos2\POS_System\POS.Domain\Entities\BaseEntity.cs","13","76.9","0","0","0","100",""
"POS.Domain.Entities.Customer","D:\jopos2\POS_System\POS.Domain\Entities\Customer.cs","11","72.7","0","0","0","100",""
"POS.Domain.Entities.Category","D:\jopos2\POS_System\POS.Domain\Entities\Category.cs","9","66.7","0","0","0","100",""
"POS.Domain.Interfaces.BackupResult","D:\jopos2\POS_System\POS.Domain\Interfaces\IBackupService.cs","3","0","0","0","0","100",""
"POS.Domain.Interfaces.AuthResult","D:\jopos2\POS_System\POS.Domain\Interfaces\IAuthService.cs","14","100","0","0","0","100",""
"POS.Domain.Interfaces.RestoreResult","D:\jopos2\POS_System\POS.Domain\Interfaces\IBackupService.cs","2","0","0","0","0","100",""
"POS.Domain.Interfaces.NotificationMessage","D:\jopos2\POS_System\POS.Domain\Interfaces\INotificationService.cs","10","0","0","0","0","100",""
"POS.Domain.Interfaces.BarcodeScannerConfig","D:\jopos2\POS_System\POS.Domain\Interfaces\IBarcodeScannerService.cs","3","0","0","0","0","100",""
"POS.Domain.Entities.Expense","D:\jopos2\POS_System\POS.Domain\Entities\Expense.cs","8","50","0","0","0","100",""
"POS.Domain.Entities.ModifierGroup","D:\jopos2\POS_System\POS.Domain\Entities\ModifierGroup.cs","8","0","0","0","0","100",""
"POS.Domain.Entities.Modifier","D:\jopos2\POS_System\POS.Domain\Entities\Modifier.cs","7","57.1","0","0","0","100",""
"POS.Domain.Entities.ModifierSize","D:\jopos2\POS_System\POS.Domain\Entities\ModifierSize.cs","7","42.9","0","0","0","100",""
"POS.Domain.Entities.Printer","D:\jopos2\POS_System\POS.Domain\Entities\Printer.cs","13","84.6","0","0","0","100",""
"POS.Domain.Entities.Payment","D:\jopos2\POS_System\POS.Domain\Entities\Payment.cs","8","75","0","0","0","100",""
"POS.Domain.Entities.InventoryBatch","D:\jopos2\POS_System\POS.Domain\Entities\InventoryBatch.cs","10","50","0","0","0","100",""
"POS.Domain.Entities.HeldSale","D:\jopos2\POS_System\POS.Domain\Entities\HeldSale.cs","8","50","0","0","0","100",""
"POS.Domain.Entities.InventoryItem","D:\jopos2\POS_System\POS.Domain\Entities\InventoryItem.cs","15","66.7","0","0","0","100",""
"POS.Domain.Entities.KitchenStation","D:\jopos2\POS_System\POS.Domain\Entities\KitchenStation.cs","5","80","0","0","0","100",""
"POS.Domain.Entities.InventoryMovement","D:\jopos2\POS_System\POS.Domain\Entities\InventoryMovement.cs","21","52.4","0","0","0","100",""
