"File","Class","TotalBranches","CoveredBranches","UncoveredBranches","BranchCoverage","UncoveredMethods"
"Printing\RawPrinterHelper.cs","POS.Infrastructure.Printing.RawPrinterHelper","88","9","79","10.2","SendRawData (15/20 branches); GetPrinterStatusString (8/8 branches); CheckPrinterAvailable (2/4 branches); FormatStatus (54/54 branches)"
"Hardware\BarcodeScannerService.cs","POS.Infrastructure.Hardware.BarcodeScannerService","32","0","32","0","StartAsync (6/6 branches); StopAsync (6/6 branches); UpdateConfig (4/4 branches); SimulateBarcode (2/2 branches); OnDataReceived (14/14 branches)"
"Hardware\SoundService.cs","POS.Infrastructure.Hardware.SoundService","17","0","17","0","SetEventEnabled (2/2 branches); Play (15/15 branches)"
"Security\PermissionService.cs","POS.Infrastructure.Security.PermissionService/<GetPermissionsAsync>d__6","14","0","14","0","MoveNext (14/14 branches)"
"Backup\SqlBackupExecutor.cs","POS.Infrastructure.Backup.SqlBackupExecutor/<RestoreDatabaseAsync>d__6","14","2","12","14.3","MoveNext (12/14 branches)"
"Backup\SqlBackupExecutor.cs","POS.Infrastructure.Backup.SqlBackupExecutor","12","2","10","16.7","GetDatabaseName (2/4 branches); GetDefaultDataPath (4/4 branches); GetDefaultLogPath (4/4 branches)"
"Security\PermissionService.cs","POS.Infrastructure.Security.PermissionService/<GetAllRolePermissionsAsync>d__7","8","0","8","0","MoveNext (8/8 branches)"
"Printing\ESCPOSPrinter.cs","POS.Infrastructure.Printing.ESCPOSPrinter/<PrintReceiptAsync>d__6","54","46","8","85.2","MoveNext (8/54 branches)"
"Repositories\UnitOfWork.cs","POS.Infrastructure.Repositories.UnitOfWork/<RollbackAsync>d__115","6","0","6","0","MoveNext (6/6 branches)"
"Logging\LoggerService.cs","POS.Infrastructure.Logging.LoggerService","6","0","6","0","LogError (2/2 branches); Dispose (4/4 branches)"
"Security\PermissionService.cs","POS.Infrastructure.Security.PermissionService/<HasPermissionAsync>d__5","6","0","6","0","MoveNext (6/6 branches)"
"Printing\ESCPOSPrinter.cs","POS.Infrastructure.Printing.ESCPOSPrinter/<SendViaNetworkAsync>d__17","10","4","6","40","MoveNext (6/10 branches)"
"Backup\BackupService.cs","POS.Infrastructure.Backup.BackupService/<EnforceRetentionPolicyAsync>d__8","8","3","5","37.5","MoveNext (5/8 branches)"
